stationCode,stationName,airTemperature.max,airTemperature.maxTime,airTemperature.min,airTemperature.minTime,evapotranspiration.shortCrop,evapotranspiration.tallCrop,panEvaporation,period.day,period.from,period.hour,period.minute,period.month,period.to,period.year,rainfall,relativeHumidity.max,relativeHumidity.maxTime,relativeHumidity.min,relativeHumidity.minTime,soilTemperature.max,soilTemperature.maxTime,soilTemperature.min,soilTemperature.minTime,solarExposure,avg.speed,height,max.direction.compassPoint,max.direction.degrees,max.speed,max.time
BG001,Kings Park,24.5,2021-12-12T05:33:00Z,14.4,2021-12-12T21:12:00Z,6.08,7.11,8.3,13,2021-12-12T16:00:00Z,,,12,2021-12-13T16:00:00Z,2021,0,64,2021-12-12T11:57:00Z,40.6,2021-12-13T00:58:00Z,33.5,2021-12-12T07:24:00Z,22.2,2021-12-12T22:44:00Z,30123.8,7.95,3,E,90,34.34,2021-12-12T22:55:00Z
BG001,Kings Park,25.1,2021-12-13T03:56:00Z,13.5,2021-12-13T20:09:00Z,6.63,7.66,8.8,14,2021-12-13T16:00:00Z,,,12,2021-12-14T16:00:00Z,2021,0,71.3,2021-12-13T21:29:00Z,33.6,2021-12-13T02:22:00Z,33.9,2021-12-13T07:24:00Z,21.4,2021-12-13T23:02:00Z,33412.1,8.61,3,SSW,198,31.82,2021-12-13T09:20:00Z
BG001,Kings Park,24.4,2021-12-14T04:55:00Z,13.9,2021-12-14T20:25:00Z,6.32,7.35,8.4,15,2021-12-14T16:00:00Z,,,12,2021-12-15T16:00:00Z,2021,0,68.6,2021-12-14T15:39:00Z,36.9,2021-12-14T04:56:00Z,32.9,2021-12-14T07:27:00Z,21.4,2021-12-14T22:25:00Z,32528.2,6.4,3,SSW,203,33.48,2021-12-14T08:26:00Z
BG001,Kings Park,27,2021-12-15T04:32:00Z,14.6,2021-12-15T20:31:00Z,6.53,7.44,8.3,16,2021-12-15T16:00:00Z,,,12,2021-12-16T16:00:00Z,2021,0,83.3,2021-12-15T20:37:00Z,34.5,2021-12-15T04:02:00Z,34,2021-12-15T06:58:00Z,22.3,2021-12-15T22:32:00Z,33538.8,3.08,3,S,180,33.48,2021-12-15T06:12:00Z
BG001,Kings Park,24.3,2021-12-16T02:38:00Z,16.8,2021-12-16T18:40:00Z,4.05,4.51,4.6,17,2021-12-16T16:00:00Z,,,12,2021-12-17T16:00:00Z,2021,0.8,86.9,2021-12-16T07:18:00Z,41.1,2021-12-16T01:22:00Z,32.7,2021-12-16T05:38:00Z,21.9,2021-12-16T22:11:00Z,21618.6,3.66,3,W,259,25.96,2021-12-16T09:53:00Z
BG001,Kings Park,23.7,2021-12-17T05:17:00Z,15.3,2021-12-17T13:58:00Z,4.84,5.48,6.1,18,2021-12-17T16:00:00Z,,,12,2021-12-18T16:00:00Z,2021,0,86.6,2021-12-17T05:39:00Z,39.4,2021-12-17T07:14:00Z,31.6,2021-12-17T08:20:00Z,23,2021-12-17T01:01:00Z,26285.5,4.39,3,SSW,200,27.61,2021-12-17T07:22:00Z
BG001,Kings Park,24.4,2021-12-18T05:40:00Z,11.6,2021-12-18T21:21:00Z,5.02,5.53,6.1,19,2021-12-18T16:00:00Z,,,12,2021-12-19T16:00:00Z,2021,0.4,89.9,2021-12-18T11:38:00Z,46.8,2021-12-18T04:33:00Z,32.6,2021-12-18T08:09:00Z,21.2,2021-12-18T22:27:00Z,27377.9,4.63,3,W,278,29.3,2021-12-18T05:49:00Z
BG001,Kings Park,25,2021-12-19T06:09:00Z,13.9,2021-12-19T20:19:00Z,6.52,7.28,8.2,20,2021-12-19T16:00:00Z,,,12,2021-12-20T16:00:00Z,2021,0,88,2021-12-19T20:16:00Z,30.8,2021-12-19T03:19:00Z,34,2021-12-19T07:22:00Z,21.7,2021-12-19T23:01:00Z,34454.1,5.54,3,SSW,206,25.13,2021-12-19T06:32:00Z
BG001,Kings Park,30.7,2021-12-20T05:22:00Z,18.7,2021-12-20T18:19:00Z,6.88,7.8100000000000005,8.4,21,2021-12-20T16:00:00Z,,,12,2021-12-21T16:00:00Z,2021,0,83.1,2021-12-20T15:35:00Z,32.3,2021-12-20T03:07:00Z,35.3,2021-12-20T07:49:00Z,23.8,2021-12-20T23:04:00Z,32904.3,5.05,3,SSW,200,27.61,2021-12-20T07:59:00Z
BG001,Kings Park,28.5,2021-12-21T06:18:00Z,18.3,2021-12-21T21:29:00Z,5.7,6.38,7.2,22,2021-12-21T16:00:00Z,,,12,2021-12-22T16:00:00Z,2021,0,83.2,2021-12-21T17:57:00Z,45,2021-12-21T05:16:00Z,34.5,2021-12-21T08:20:00Z,23.5,2021-12-21T22:18:00Z,28625.9,5.49,3,SSW,192,27.61,2021-12-21T08:36:00Z
BG001,Kings Park,30,2021-12-22T05:24:00Z,19.4,2021-12-22T20:48:00Z,6.78,7.63,8.8,23,2021-12-22T16:00:00Z,,,12,2021-12-23T16:00:00Z,2021,0,79.3,2021-12-22T14:46:00Z,38.7,2021-12-22T03:53:00Z,36,2021-12-22T07:36:00Z,24.6,2021-12-22T22:39:00Z,32677,4.96,3,SE,140,39.38,2021-12-22T03:03:00Z
BG001,Kings Park,32.3,2021-12-23T03:52:00Z,21.4,2021-12-23T21:09:00Z,7.6,8.88,9.9,24,2021-12-23T16:00:00Z,,,12,2021-12-24T16:00:00Z,2021,0,59.8,2021-12-23T16:22:00Z,30.8,2021-12-23T03:51:00Z,37,2021-12-23T07:53:00Z,25.9,2021-12-23T22:38:00Z,33110,5.68,3,SSW,194,25.96,2021-12-23T08:03:00Z
BG001,Kings Park,37.1,2021-12-24T06:48:00Z,21.8,2021-12-24T21:38:00Z,8.21,9.79,10.6,25,2021-12-24T16:00:00Z,,,12,2021-12-25T16:00:00Z,2021,0,52.2,2021-12-24T21:35:00Z,20.7,2021-12-24T05:10:00Z,38.8,2021-12-24T08:08:00Z,27.3,2021-12-24T23:04:00Z,32969.1,6.06,3,ENE,76,30.13,2021-12-24T22:27:00Z
BG001,Kings Park,42.2,2021-12-25T07:10:00Z,25.6,2021-12-25T21:40:00Z,8.69,10.55,11.4,26,2021-12-25T16:00:00Z,,,12,2021-12-26T16:00:00Z,2021,0,40.9,2021-12-25T21:48:00Z,12,2021-12-25T07:07:00Z,40.7,2021-12-25T08:30:00Z,29.1,2021-12-25T01:01:00Z,32950.4,5.54,3,ESE,117,32.65,2021-12-25T17:49:00Z
BG001,Kings Park,43.1,2021-12-26T06:25:00Z,27.1,2021-12-26T21:39:00Z,8.07,9.92,10.6,27,2021-12-26T16:00:00Z,,,12,2021-12-27T16:00:00Z,2021,0,34.1,2021-12-26T23:00:00Z,9.4,2021-12-26T08:26:00Z,41.7,2021-12-26T08:21:00Z,30.7,2021-12-26T22:58:00Z,30220.6,4.75,3,NNE,28,29.3,2021-12-26T18:22:00Z
BG001,Kings Park,40.2,2021-12-27T07:12:00Z,25.5,2021-12-27T21:38:00Z,7.64,9.14,10.7,28,2021-12-27T16:00:00Z,,,12,2021-12-28T16:00:00Z,2021,0,49.5,2021-12-27T15:33:00Z,11.5,2021-12-27T07:36:00Z,41.9,2021-12-27T08:12:00Z,29.9,2021-12-27T23:00:00Z,31048.7,4.66,3,SE,136,24.3,2021-12-27T03:49:00Z
BG001,Kings Park,40.1,2021-12-28T05:44:00Z,21.4,2021-12-28T20:21:00Z,7.73,9.02,10.7,29,2021-12-28T16:00:00Z,,,12,2021-12-29T16:00:00Z,2021,0,58.2,2021-12-28T18:11:00Z,14.4,2021-12-28T05:18:00Z,42.5,2021-12-28T07:36:00Z,29.2,2021-12-28T22:42:00Z,32672.6,3.7,3,SSW,202,24.3,2021-12-28T08:15:00Z
